,v1,gene_symbol,v3,group,subgroup,pathway_or_family,full_name,gene_name_synonym(s),type,reaction_EC,Vitisnet_Network1,Vitisnet_Network2
12209,VIT_00s0391g00040,,Vitvi07g03046,,,,F-box family protein,,,,,
12210,VIT_00s0391g00050,,Vitvi07g03047,,,,Unknown protein,,,,,
12211,VIT_00s0391g00060,,Vitvi07g03048,,,,Preprotein translocase subunit SecG,,,K03075,vv23060Protein_export,vv50132Primary_active_transporter_cat_A5_to_A8
12212,VIT_00s0625g00040,,Vitvi07g03051,,,,Polyadenylate-binding protein 2,,,K14396,vv23015mRNA_surveillance_pathway,
12213,VIT_00s0625g00030,,Vitvi07g03052,,,,RAB GTPase RABA4A,,,K07976,,
12214,VIT_00s0386g00060,,Vitvi07g03058,,,,E3 ubiquitin-protein ligase FANCL,,,K10606,vv24120Ubiquitin_mediated_proteolysis,
12215,VIT_00s0386g00050,,Vitvi07g03060,,,,Xyloglucan endotransglucosylase/hydrolase precursor,,,E2_4_1_207,vv40006Cell_wall,
12216,VIT_00s0386g00040,,Vitvi07g03061,,,,Unknown protein,,,,,
12217,VIT_00s0386g00030,,Vitvi07g03063,,,,Unknown protein,,,,,
12218,VIT_00s0386g00020,,Vitvi07g03064,,,,Cytochrome c oxidase subunit VIa,,,K02266,vv10190Oxidative_phosphorylation,vv50135Primary_active_transporter_cat_D3_to_E2
12219,VIT_00s0373g00020,,Vitvi07g03067,,,,HSL2 (HAESA-like 2),,,,,
12220,VIT_00s0373g00030,,Vitvi07g03068,,,,HSL2 (HAESA-like 2),,,,,
12221,VIT_00s0373g00040,,Vitvi07g03070,,,,Malate dehydrogenase Glyoxysomal,,,E1_1_1_37,vv10020Citrate_cycle,vv10620Pyruvate_metabolism
12222,VIT_00s0373g00050,,Vitvi07g03071,,,,Basic helix-loop-helix (bHLH) family,,,BHLHDOM_80,vv60011BHLH,
12223,VIT_00s0371g00010,,Vitvi07g03074,,,,Cinnamyl alcohol dehydrogenase,,,E1_1_1_195,vv10940Phenylpropanoid_biosynthesis,
12224,VIT_00s0371g00020,,Vitvi07g03075,,,,Cinnamyl alcohol dehydrogenase,,,E1_1_1_195,vv10940Phenylpropanoid_biosynthesis,
12225,VIT_00s0371g00040,,Vitvi07g03076,,,,Sinapyl alcohol dehydrogenase,,,E1_1_1_195,vv10940Phenylpropanoid_biosynthesis,
12226,VIT_00s0371g00050,,Vitvi07g03077,,,,Mannitol dehydrogenase,,,E1_1_1_67,vv10051Fructose_and_mannose_metabolism,
12227,VIT_00s0371g00060,,Vitvi07g03078,,,,Sinapyl alcohol dehydrogenase,,,E1_1_1_195,vv10940Phenylpropanoid_biosynthesis,
12228,VIT_00s0371g00070,,Vitvi07g03079,,,,Alcohol dehydrogenase,,,E1_1_1_1,vv10010Glycolysis,vv10071Fatty_acid_metabolism
12229,VIT_00s0371g00090,,Vitvi07g03080,,,,No hit,,,,,
12230,VIT_00s0371g00100,,Vitvi07g03081,,,,Mannitol dehydrogenase,,,E1_1_1_67,vv10051Fructose_and_mannose_metabolism,
12231,VIT_00s0371g00110,,Vitvi07g03082,,,,Rhamnogalacturonate lyase,,,RHGTL,vv40006Cell_wall,
12232,VIT_00s0615g00030,,Vitvi07g03083,,,,Mannitol dehydrogenase (ELI3-1),,,E1_1_1_67,vv10051Fructose_and_mannose_metabolism,
12233,VIT_00s0686g00030,,Vitvi07g03086,,,,ACT domain repeat 1 (ACR1) uridylyltransferase,,,,,
12234,VIT_00s0686g00020,,Vitvi07g03087,,,,BSD domain-containing protein,,,BSDDOM_10,vv60075Other_BSD,
12235,VIT_00s0686g00010,,Vitvi07g03088,,,,GTP-binding protein engB,,,K03978,,
12236,VIT_00s0525g00010,,Vitvi07g03090,,,,DEAD  box  RNA helicase RH16,,,RH16,vv23040Spliceosome,vv50133Primary_active_transporter_cat_A9_to_A18
12237,VIT_00s0525g00020,,Vitvi07g03091,,,,Squalene monooxygenase,,,E1_14_99_7,vv10100Biosynthesis_of_steroids,vv10900Terpenoid_biosynthesis
12238,VIT_00s0525g00030,,Vitvi07g03092,,,,Pentatricopeptide (PPR) repeat-containing,,,,,
12239,VIT_00s0525g00040,,Vitvi07g03093,,,,Pentatricopeptide (PPR) repeat-containing protein,,,,,
12240,VIT_00s0525g00050,,Vitvi07g03094,,,,Metal transporter CNNM4 (Cyclin-M4),,,CNNM4,vv50109Incompletely_characterized_transport_systems,
12241,VIT_00s0734g00010,,Vitvi07g03096,,,,No hit,,,,,
12242,VIT_00s0734g00020,,Vitvi07g03097,,,,GTP-binding protein HflX,,,K03665,,
12243,VIT_00s0734g00030,,Vitvi07g03099,,,,Unknown protein,,,,,
12244,VIT_00s0771g00010,,Vitvi07g03100,,,,Pentatricopeptide (PPR) repeat-containing protein,,,,,
12245,VIT_00s0771g00020,,Vitvi07g03101,,,,Unknown protein,,,,,
12246,VIT_00s0840g00010,,Vitvi07g03104,,,,1-aminocyclopropane-1-carboxylate synthase,,,E4_4_1_14,vv10640Propanoate_metabolism,vv30008Ethylene_signaling
12247,VIT_00s0513g00020,,Vitvi07g03105,,,,Peptidyl-prolyl cis-trans isomerase-like 2,,,K10598,vv23040Spliceosome,vv24120Ubiquitin_mediated_proteolysis
12248,VIT_00s0513g00010,,Vitvi07g03106,,,,Glycosyl hydrolase family 43 protein,,,,,
12249,VIT_00s0794g00010,,Vitvi07g03107,,,,DEAD/DEAH box RNA helicase protein RH16,,,RH16,vv23040Spliceosome,vv50133Primary_active_transporter_cat_A9_to_A18
12250,VIT_00s0829g00010,,Vitvi07g03108,,,,SWITCH1 splice variant L phospholipase C,,,,,
12251,VIT_00s0929g00010,,Vitvi07g03109,,,,AP2-like AIL6 (AINTEGUMENTA-like 6),,,AIL6_4,vv30008Ethylene_signaling,vv60003AP2_EREBP
12252,VIT_00s0929g00020,,Vitvi07g03110,,,,Receptor protein kinase PERK1,,,,,
12253,VIT_00s0972g00010,,Vitvi07g03111,,,,N-acetylglucosaminyltransferase,,,K02366,vv11030Glycan_structures-biosynthesis1,
12254,VIT_00s1057g00010,,Vitvi07g03113,,,,No hit,,,,,
12255,VIT_00s1216g00010,,Vitvi07g03114,,,,CYP82K1,,,,,
12256,VIT_00s1216g00020,,Vitvi07g03115,,,,CYP82C1p,,,,,
12257,VIT_00s1220g00010,,Vitvi07g03116,,,,Calcium-binding EF hand,,,,,
12258,VIT_00s1238g00010,,Vitvi07g03117,,,,BSD domain-containing protein,,,BSDDOM_9,vv60075Other_BSD,
12259,VIT_00s1255g00010,,Vitvi07g03118,,,,SRD2 (Shoot redifferentiation defective 2),,,,,
12260,VIT_00s1273g00010,,Vitvi07g03119,,,,Phospholipid-transporting ATPase,,,K01530,vv50131Primary_active_transporter_cat_A2_to_A4,
12261,VIT_00s1281g00010,,Vitvi07g03120,,,,Membrane bound O-acyl transferase (MBOAT),,,MBOAT,vv50124Porters_cat_30_to_64,
12262,VIT_00s1322g00010,,Vitvi07g03123,,,,Tubulin alpha-3 chain,,,K07374,vv44145Phagosome,vv44810Regulation_of_actin_cytoskeleton
12263,VIT_00s1326g00010,,Vitvi07g03124,,,,Kinesin motor protein,,,KMOTOR,vv44810Regulation_of_actin_cytoskeleton,
12264,VIT_00s1333g00010,,Vitvi07g03125,,,,PHO1-like protein,,,PHO1,vv50125Porters_cat_66_to_94,
12265,VIT_00s1336g00010,,Vitvi07g03126,,,,Unknown,,,,,
12266,VIT_00s1336g00020,,Vitvi07g03127,,,,Embryo defective 2762,,,,,
12267,VIT_00s1339g00010,,Vitvi07g03128,,,,Ribonuclease II,,,K01149,,
12268,VIT_00s1375g00010,,Vitvi07g03129,,,,Meiotic recombination 11 MRE11,,,K10865,vv23440Homologous_recombination,vv23450Non_homologous_end_joining
12269,VIT_00s1403g00010,,Vitvi07g03131,,,,Unknown,,,,,
12270,VIT_00s1437g00010,,Vitvi07g03132,,,,1-aminocyclopropane-1-carboxylate synthase,,,E4_4_1_14,vv10640Propanoate_metabolism,vv30008Ethylene_signaling
12271,VIT_00s1501g00010,,Vitvi07g03133,,,,Nucleotide binding,,,,,
12272,VIT_00s1542g00010,,Vitvi07g03135,,,,Receptor protein kinase,,,,,
12273,VIT_00s1542g00020,,Vitvi07g03136,,,,Pto serine/threonine kinase,,,,,
12274,VIT_00s1613g00010,,Vitvi07g03139,,,,Syntaxin 52,,,K08503,vv24130SNARE_interactions_in_vesicular_transport,
12275,VIT_00s1674g00010,,Vitvi07g03141,,,,4-nitrophenylphosphatase,,,E3_1_3_18,vv10630Glyoxylate_and_dicarboxylate_metabolism,
12276,VIT_00s1679g00010,,Vitvi07g03142,,,,Avr9/Cf-9 rapidly elicited protein 75,,,,,
12277,VIT_00s1916g00010,,Vitvi07g03146,,,,DNA binding,,,,,
12278,VIT_00s1923g00010,,Vitvi07g03147,,,,Esterase/lipase/thioesterase; AB-hydrolase associated lipase region,,,,,
12279,VIT_00s1955g00010,,Vitvi07g03148,,,,No hit,,,,,
12280,VIT_00s2037g00010,,Vitvi07g03150,,,,Unknown,,,,,
12281,VIT_00s2081g00010,,Vitvi07g03152,,,,3-hydroxyisobutyrate dehydrogenase,,,E1_1_1_31,vv10280Valine_leucine_and_isoleucine_degradation,
12282,VIT_00s2085g00010,,Vitvi07g03153,,,,Leucine-rich repeat family protein,,,,,
12283,VIT_00s2249g00010,,Vitvi07g03155,,,,GLABRA2 expression modulator,,,GLABRAEM,vv44110Cell_cycle,
12284,VIT_00s2290g00010,,Vitvi07g03157,,,,No hit,,,,,
12285,VIT_00s2317g00010,,Vitvi07g03158,,,,RAB GDP dissociation inhibitor 2 ATGDI2,,,,,
12286,VIT_00s2417g00010,,Vitvi07g03160,,,,Phosphatidylinositolglycan class O (PIG-O),,,K05288,vv10563Glycosylphosphatidylinositol-anchor_biosynthesis,
12287,VIT_00s2417g00020,,Vitvi07g03161,,,,Kinesin motor protein,,,KMOTOR,vv44810Regulation_of_actin_cytoskeleton,
12288,VIT_00s2422g00010,,Vitvi07g03162,,,,Hexokinase-2,,,E2_7_1_1,vv10010Glycolysis,vv10051Fructose_and_mannose_metabolism
12289,VIT_00s2466g00010,,Vitvi07g03164,,,,Exo-1;3-beta-glucanase,,,E3_2_1_58,vv10500Starch_and_sucrose_metabolism,
12290,VIT_00s2480g00010,,Vitvi07g03165,,,,No hit,,,,,
12291,VIT_00s2481g00010,,Vitvi07g03166,,,,Unknown,,,,,
12292,VIT_00s2558g00010,,Vitvi07g03168,,,,TRNA synthetase; class II (D; K and N); Nucleic acid-binding; OB-fold,,,E6_1_1_6,vv10300Lysine_biosynthesis,vv20970Aminoacyl-tRNA_biosynthesis
12293,VIT_00s2569g00010,,Vitvi07g03169,,,,Sialidase BNR/Asp-box repeat family protein,,,,,
12294,VIT_00s2600g00010,,Vitvi07g03170,,,,No hit,,,,,
12295,VIT_00s2604g00010,,Vitvi07g03171,,,,ADP-ribosylation factor,,,,,
12296,VIT_00s2623g00010,,Vitvi07g03172,,,,Nuclear transport factor 2 (NTF2),,,NTF2,vv50133Primary_active_transporter_cat_A9_to_A18,
12297,VIT_00s2630g00010,,Vitvi07g03173,,,,Acetyl-CoA carboxylase,,,E6_4_1_2,vv10061Fatty_acid_biosynthesis,vv10620Pyruvate_metabolism
12298,VIT_00s2731g00010,,Vitvi07g03175,,,,Acyl-(acyl carrier protein) thioesterase,,,E3_1_2_14,vv10061Fatty_acid_biosynthesis,
12299,VIT_00s2840g00010,,Vitvi07g03177,,,,Phosphoenolpyruvate carboxykinase,,,E4_1_1_49,vv10020Citrate_cycle,vv10620Pyruvate_metabolism
12300,VIT_00s0408g00010,,Vitvi07g03178,,,,Somatic embryogenesis receptor kinase 2 SERK2,,,,,
12301,VIT_00s0408g00040,,Vitvi07g03179,,,,Somatic embryogenesis receptor kinase 2 SERK2,,,,,
12302,VIT_00s0276g00020,,Vitvi07g03183,,,,No hit,,,,,
12303,VIT_00s0276g00030,,Vitvi07g03184,,,,No hit,,,,,
12304,VIT_00s0276g00050,,Vitvi07g03188,,,,R protein MLA10,,,K13475,vv34627R_proteins_from_Plant-pathogen_interaction,
12305,VIT_00s0276g00060,,Vitvi07g03189,,,,CC-NBS-LRR class,,,,,
12306,VIT_00s0276g00070,,Vitvi07g03191,,,,R protein disease resistance protein,,,RPROT,vv34627R_proteins_from_Plant-pathogen_interaction,
12307,VIT_00s0276g00080,,Vitvi07g03192,,,,R protein disease resistance protein,,,RPROT,vv34627R_proteins_from_Plant-pathogen_interaction,
12308,VIT_08s0056g00010,,Vitvi08g00001,,,,Seryl-tRNA synthetase,,,E6_1_1_11,vv10260Glycine_serine_and_threonine_metabolism,vv20970Aminoacyl-tRNA_biosynthesis
12309,VIT_08s0056g00030,,Vitvi08g00004,,,,Diadenosine 5';5'''-P1;P4-tetraphosphate hydrolase,,,E3_6_1_17,vv10230Purine_metabolism,vv10240Pyrimidine_metabolism
12310,VIT_08s0056g00040,,Vitvi08g00005,,,,WD-40 repeat protein,,,,,
12311,VIT_08s0056g00070,,Vitvi08g00008,,,,Methylenetetrahydrofolate dehydrogenase,,,E1_5_1_15,vv10670One_carbon_pool_by_folate,
12312,VIT_08s0056g00080,,Vitvi08g00009,,,,Glycosyl transferase family 8 protein,,,,,
12313,VIT_08s0056g00090,,Vitvi08g00010,,,,Met-10+ like family protein,,,,,
12314,VIT_08s0056g00100,,Vitvi08g00011,,,,Protein kinase,,,,,
12315,VIT_08s0056g00110,,Vitvi08g00012,,,,Emp24/gp25L/p24,,,EMP24,vv50110Protein_coat,
12316,VIT_08s0056g00120,,Vitvi08g00013,,,,Ethanolamine-phosphate cytidylyltransferase,,,E2_7_7_14,vv10564Glycerophospholipid_metabolism,
12317,VIT_08s0056g00130,,Vitvi08g00014,,,,Unknown protein,,,,,
12318,VIT_08s0056g00150,,Vitvi08g00015,,,,Protein kinase APK1B,,,,,
12319,VIT_08s0056g00180,,Vitvi08g00016,,,,Translation initiation factor IF-2B subunit delta,,,K03680,,
12320,VIT_08s0056g00190,,Vitvi08g00017,,,,Pyruvate kinase,,,E2_7_1_40,vv10010Glycolysis,vv10230Purine_metabolism
12321,VIT_08s0056g00200,,Vitvi08g00018,,,,2;3-bisphosphoglycerate-independent phosphoglycerate mutase,,,E5_4_2_1,vv10010Glycolysis,
12322,VIT_08s0056g00210,,Vitvi08g00019,,,,Cyclin-dependent kinase B1;2,,,CDKB1_2,vv44110Cell_cycle,
12323,VIT_08s0056g00220,,Vitvi08g00020,,,,Serine/threonine protein phosphatase PP1,,,K06269,vv10500Starch_and_sucrose_metabolism,
12324,VIT_08s0056g00230,,Vitvi08g00021,,,,Unknown protein,,,,,
12325,VIT_08s0056g00240,,Vitvi08g00022,,,,Unknown protein,,,,,
12326,VIT_08s0056g00250,,Vitvi08g00023,,,,Harpin-induced 1,,,,,
12327,VIT_08s0056g00270,,Vitvi08g00024,,,,Unknown protein,,,,,
12328,VIT_08s0056g00280,,Vitvi08g00026,,,,Plant adhesion molecule 1 (PAM1),,,,,
12330,VIT_08s0056g00320,,Vitvi08g00028,,,,Zinc finger (C3HC4-type ring finger),,,ZFC3HC4_221,vv60078Other_zf-C3HC4,
12331,VIT_08s0056g00330,,Vitvi08g00030,,,,Bromodomain containing,,,,,
12332,VIT_08s0056g00380,,Vitvi08g00032,,,,Purple acid phosphatase 10 ATPAP10/PAP10,,,E3_1_3_2,vv10740Riboflavin_metabolism,
12333,VIT_08s0056g00400,,Vitvi08g00035,,,,No hit,,,,,
12334,VIT_08s0056g00430,,Vitvi08g00037,,,,Unknown protein,,,,,
12335,VIT_08s0056g00440,,Vitvi08g00038,,,,Zinc finger (C3HC4-type ring finger),,,ZFC3HC4_87,vv60078Other_zf-C3HC4,
12336,VIT_08s0056g00470,,Vitvi08g00039,,,,DEAH (Asp-Glu-Ala-His) box polypeptide 8,,,DHX8,vv23040Spliceosome,
12337,VIT_08s0056g00500,,Vitvi08g00041,,,,Unknown protein,,,,,
12338,VIT_08s0056g00510,,Vitvi08g00042,,,,KH domain-containing protein,,,,,
12339,VIT_08s0056g00530,,Vitvi08g00045,,,,Diaminopimelate decarboxylase,,,E4_1_1_20,vv10300Lysine_biosynthesis,
12340,VIT_08s0056g00550,,Vitvi08g00046,,,,ZIP family transporter,,,ZIPFT,vv50121Porters_cat_1_to_6,
12341,VIT_08s0056g00570,,Vitvi08g00047,,,,Serine/threonine protein kinase activity,,,,,
12342,VIT_08s0056g00580,,Vitvi08g00051,,,,Nuclear shuttle  interacting  (ATNSI1),,,NSI1_1,vv60082GNAT,
12343,VIT_08s0056g00610,,Vitvi08g00052,,,,Transposon protein; Mutator sub-class,,,,,
12344,VIT_08s0056g00620,,Vitvi08g00053,,,,V-type H+-transporting ATPase subunit E,,,K02150,vv10190Oxidative_phosphorylation,vv44145Phagosome
12345,VIT_08s0056g00630,,Vitvi08g00054,,,,Acid phosphatase,,,E3_1_3_2,vv10740Riboflavin_metabolism,
12346,VIT_08s0056g00640,,Vitvi08g00055,,,,Transposon protein; CACTA; En/Spm sub-class,,,,,
12347,VIT_08s0056g00660,,Vitvi08g00056,,,,Pentatricopeptide (PPR) repeat-containing,,,,,
12348,VIT_08s0056g00700,,Vitvi08g00058,,,,La domain-containing protein,,,,,
12349,VIT_08s0056g00710,,Vitvi08g00059,,,,Protein kinase C inhibitor,,,,,
12350,VIT_08s0056g00720,,Vitvi08g00060,,,,Phytochrome kinase substrate 1;,,,,,
12351,VIT_08s0056g00730,,Vitvi08g00061,,,,SEC14 cytosolic factor,,,SEC14,vv50122Porters_cat_7_to_17,
12352,VIT_08s0056g00740,,Vitvi08g00062,,,,Unknown protein,,,,,
12353,VIT_08s0056g00770,,Vitvi08g00064,,,,Unknown protein,,,,,
12354,VIT_08s0056g00780,,Vitvi08g00067,,,,MATE efflux family protein,,,MATE,vv50125Porters_cat_66_to_94,
12355,VIT_08s0056g00790,,Vitvi08g00068,,,,Phagocytosis and cell motility protein ELMO1,,,,,
12356,VIT_08s0056g00810,,Vitvi08g00070,,,,Co-chaperone grpE,,,K03687,vv50132Primary_active_transporter_cat_A5_to_A8,
12357,VIT_08s0056g00820,,Vitvi08g00071,,,,Cysteine synthase; chloroplast precursor,,,E2_5_1_47,vv10272Cysteine_metabolism,vv10450Selenoamino_acid_metabolism
12358,VIT_08s0056g00830,,Vitvi08g00072,,,,Presenilin,,,K06060,vv50101Channels_and_pores,
12359,VIT_08s0056g00840,,Vitvi08g00073,,,,MATE efflux family protein,,,MATE,vv50125Porters_cat_66_to_94,
12360,VIT_08s0056g00860,,Vitvi08g00074,,,,MATE efflux family protein,,,MATE,vv50125Porters_cat_66_to_94,
12361,VIT_08s0056g00870,,Vitvi08g00076,,,,MATE efflux family protein,,,MATE,vv50125Porters_cat_66_to_94,
12362,VIT_08s0056g00890,,Vitvi08g00078,,,,MATE efflux family protein,,,MATE,vv50125Porters_cat_66_to_94,
12363,VIT_08s0056g00900,,Vitvi08g00079,,,,DNA-directed RNA polymerase subunit beta,,,K03043,vv23020RNA_polymerase,
12364,VIT_08s0056g00980,,Vitvi08g00083,,,,F-box domain containing protein,,,,,
12365,VIT_08s0056g00990,,Vitvi08g00084,,,,No hit,,,,,
12366,VIT_08s0056g01000,,Vitvi08g00085,,,,MATE efflux family protein,,,MATE,vv50125Porters_cat_66_to_94,
12367,VIT_08s0056g01040,,Vitvi08g00086,,,,MATE efflux family protein,,,MATE,vv50125Porters_cat_66_to_94,
12368,VIT_08s0056g01050,,Vitvi08g00089,,,,NADH-plastoquinone oxidoreductase SU I,,,K05580,vv10190Oxidative_phosphorylation,vv50134Primary_active_transporter_cat_D1
12369,VIT_08s0056g01070,,Vitvi08g00091,,,,MATE efflux family protein,,,MATE,vv50125Porters_cat_66_to_94,
12370,VIT_08s0056g01080,,Vitvi08g00092,,,,MATE efflux family protein,,,MATE,vv50125Porters_cat_66_to_94,
12371,VIT_08s0056g01090,,Vitvi08g00094,,,,5'-3' exoribonuclease 2,,,K12619,vv23008Ribosome_biogenesis_in_Eukaryotes,vv23018RNA_degradation
12372,VIT_08s0056g01100,,Vitvi08g00095,,,,MATE efflux family protein,,,MATE,vv50125Porters_cat_66_to_94,
12373,VIT_08s0056g01110,,Vitvi08g00097,,,,Intron-binding protein aquarius,,,K12874,vv23040Spliceosome,
12374,VIT_08s0056g01120,,Vitvi08g00099,,,,MATE efflux family protein,,,MATE,vv50125Porters_cat_66_to_94,
12375,VIT_08s0056g01130,,Vitvi08g00100,,,,Mini zinc finger 2 MIF2,,,MIF2_2,vv60068Zf-HD,
12376,VIT_08s0056g01140,,Vitvi08g00101,,,,Exostosin,,,K02366,vv11030Glycan_structures-biosynthesis1,
12377,VIT_08s0056g01150,,Vitvi08g00102,,,,NADH-cytochrome b5 reductase,,,E1_6_2_2,vv50135Primary_active_transporter_cat_D3_to_E2,
12378,VIT_08s0056g01160,,Vitvi08g00103,,,,BDG1 (BODYGUARD1) hydrolase,,,,,
12379,VIT_08s0056g01170,,Vitvi08g00104,,,,Zinc finger protein VAR3; chloroplastic,,,VARIEGATED3_2,vv60080Other_zf,
12380,VIT_08s0056g01180,,Vitvi08g00105,,,,Unknown protein,,,,,
12381,VIT_08s0056g01230,,Vitvi08g00110,,,,Cycling DOF factor 2,,,CDF2_2,vv60015C2C2-DOF,
12382,VIT_08s0056g01250,,Vitvi08g00112,,,,Transcription factor IIB (TFIIB) family protein,,,K03124,vv23022Basal_transcription_factors,
12383,VIT_08s0056g01270,,Vitvi08g00113,,,,EGY1 (Ethylene-dependent gravitropism-deficient and yellow-green 1),,,EGY1,vv30008Ethylene_signaling,
12384,VIT_08s0056g01280,,Vitvi08g00114,,,,MIF4G domain-containing protein,,,,,
12385,VIT_08s0056g01290,,Vitvi08g00115,,,,Receptor-like kinase 17,,,,,
12386,VIT_08s0056g01300,,Vitvi08g00117,,,,Cupin; RmlC-type,,,,,
12387,VIT_08s0056g01310,,Vitvi08g00118,,,,MEMB11 (Golgi SNARE protein membrin 11),,,K08496,vv24130SNARE_interactions_in_vesicular_transport,
12388,VIT_08s0056g01340,,Vitvi08g00120,,,,Exosome complex exonuclease RRP6,,,K12591,vv23018RNA_degradation,
12389,VIT_08s0056g01410,,Vitvi08g00125,,,,Ubiquitin family,,,,,
12390,VIT_08s0056g01420,,Vitvi08g00126,,,,Polynucleotide phosphorylase,,,E2_7_7_8,vv10230Purine_metabolism,vv10240Pyrimidine_metabolism
12391,VIT_08s0056g01490,,Vitvi08g00129,,,,Chaperone protein dnaJ,,,K03686,vv50132Primary_active_transporter_cat_A5_to_A8,
12392,VIT_08s0056g01500,,Vitvi08g00130,,,,Unknown protein,,,,,
12393,VIT_08s0056g01520,,Vitvi08g00132,,,,Acetylglucosaminyltransferase,,,E2_4_1_223,vv11030Glycan_structures-biosynthesis1,
12394,VIT_08s0056g01530,,Vitvi08g00133,,,,Anthranilate phosphoribosyltransferase,,,E2_4_2_18,vv10400Phenylalanine_tyrosine_and_tryptophan_biosynthesis,
12395,VIT_08s0056g01560,,Vitvi08g00134,,,,DsRNA-binding protein ODB1 (Oryza sativa Japonica Group),,,,,
12396,VIT_08s0056g01570,,Vitvi08g00135,,,,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,,,E2_1_1_14,vv10271Methionine_metabolism,
12397,VIT_08s0056g01590,,Vitvi08g00137,,,,Ankyrin,,,K10380,vv50108Accessory_factors_involved_in_transport,
12398,VIT_08s0056g01600,,Vitvi08g00138,,,,No hit,,,,,
12399,VIT_08s0056g01620,,Vitvi08g00140,,,,FH protein interacting protein FIP2,,,FIP2,vv50101Channels_and_pores,
12400,VIT_08s0056g01640,,Vitvi08g00142,,,,3-isopropylmalate dehydratase large subunit 2,,,E4_2_1_33,vv10290Valine_leucine_and_isoleucine_biosynthesis,
12401,VIT_08s0056g01660,,Vitvi08g00145,,,,Histone-lysine N-methyltransferase SUVR3,,,E2_1_1_43SUVR3_1,vv10300Lysine_biosynthesis,vv60056SET_PCG
12402,VIT_08s0056g01670,,Vitvi08g00146,,,,BTB-POZ and math Domain 4 ATBPM4,,,BPM4_1,vv60093TRAF,
12403,VIT_08s0056g01680,,Vitvi08g00148,,,,Lipoxygenase; LH2,,,E1_13_11_12,vv10592alpha-Linolenic_acid_metabolism,
12404,VIT_08s0056g01690,,Vitvi08g00151,,,,LrgB-like family protein,,,,,
12405,VIT_08s0056g01700,,Vitvi08g00152,,,,Cationic amino acid transporter 2,,,CAT2,vv50121Porters_cat_1_to_6,
12406,VIT_08s0056g01710,,Vitvi08g00153,,,,Cationic amino acid transporter 2,,,CAT2,vv50121Porters_cat_1_to_6,
12407,VIT_08s0032g00020,,Vitvi08g00155,,,,Histone H2A.4 HTA12,,,H2A4,,
12408,VIT_08s0032g00040,,Vitvi08g00157,,,,Carboxyesterase 16,,,CXE16,,
12409,VIT_08s0032g00050,,Vitvi08g00159,,,,Acyl-activating enzyme 15,,,E6_2_1_3_AAE15,vv10071Fatty_acid_metabolism,vv50104Group_translocators
12410,VIT_08s0032g00090,,Vitvi08g00160,,,,replication factor C subunit 3/5,,,K10756,vv23030DNA_replication,vv23420Nucleotide_excision_repair
12411,VIT_08s0032g00100,,Vitvi08g00161,,,,Heat shock  HSP20 family protein,,,K13993,vv24141Protein_processing_in_endoplasmic_reticulum,
12412,VIT_08s0032g00110,,Vitvi08g00163,,,,RNA recognition motif (RRM)-containing protein,,,,,
12413,VIT_08s0032g00130,,Vitvi08g00164,,,,No hit,,,,,
12414,VIT_08s0032g00240,,Vitvi08g00171,,,,CYP71A22,,,E1_14_13_73,vv10902Monoterpenoid_biosynthesis,
12415,VIT_08s0032g00270,,Vitvi08g00172,,,,CYP71D64,,,,,
12416,VIT_08s0032g00280,,Vitvi08g00173,,,,Regulator of chromosome condensation (RCC1),,,RCC1,vv50112Nuclear_pore_complex,
12417,VIT_08s0032g00290,,Vitvi08g00174,,,,RNA-binding region RNP-1,,,,,
12418,VIT_08s0032g00300,,Vitvi08g00175,,,,Annexin A3,,,ANN3,vv50101Channels_and_pores,
12419,VIT_08s0032g00310,,Vitvi08g00176,,,,Ubiquitin-conjugating enzyme E2 A,,,K10573,vv24120Ubiquitin_mediated_proteolysis,
12420,VIT_08s0032g00320,,Vitvi08g00177,,,,Pigment defective 318 (PDE318),,,,,
12421,VIT_08s0032g00360,,Vitvi08g00180,,,,N-6 Adenine-specific DNA methylase,,,E2_1_1_72,vv10271Methionine_metabolism,
12422,VIT_08s0032g00380,,Vitvi08g00182,,,,Myosin-like protein XIC,,,MYOSINXIC,vv44810Regulation_of_actin_cytoskeleton,
12423,VIT_08s0032g00410,,Vitvi08g00184,,,,Myosin-like protein XIK,,,MYOSINXIK,vv44810Regulation_of_actin_cytoskeleton,
12424,VIT_08s0032g00420,,Vitvi08g00186,,,,Exostosin,,,K02366,vv11030Glycan_structures-biosynthesis1,
12425,VIT_08s0032g00440,,Vitvi08g00187,,,,Syntaxin 1B/2/3/4,,,K08486,vv24130SNARE_interactions_in_vesicular_transport,vv50101Channels_and_pores
12426,VIT_08s0032g00460,,Vitvi08g00188,,,,No hit,,,,,
12427,VIT_08s0032g00470,,Vitvi08g00189,,,,Periplasmic beta-glucosidase precursor,,,E3_2_1_21,vv10460Cyanoamino_acid_metabolism,vv10500Starch_and_sucrose_metabolism
12428,VIT_08s0032g00500,,Vitvi08g00194,,,,SEH1H (SEH1H),,,SEH1H,vv50109Incompletely_characterized_transport_systems,
12429,VIT_08s0032g00510,,Vitvi08g00195,,,,CXE carboxylesterase,,,E3_1_1_1,,
12430,VIT_08s0032g00520,,Vitvi08g00197,,,,Transmembrane protein 9,,,,,
12431,VIT_08s0032g00530,,Vitvi08g00198,,,,Rhomboid,,,,,
