Hs-MFSD2A,2000,1000,T094283-MFSD2A,"p1@MFSD2A"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1333,T172873,138,0.0687,p10@PRKAG2,51422,9386,"Q9UGJ0,Q8NCK6",PRKAG2,"protein kinase AMP-activated non-catalytic subunit gamma 2","gene with protein product"
1334,T183394,138,0.0687,p2@TNFRSF10A,8797,11904,O00220,TNFRSF10A,"TNF receptor superfamily member 10a","gene with protein product"
1335,T131828,138,0.0686,p2@NAALADL2,254827,23219,Q58DX5,NAALADL2,"N-acetylated alpha-linked acidic dipeptidase like 2","gene with protein product"
1336,T119089,137,0.0683,p3@NHEJ1,79840,25737,C9JWV4,NHEJ1,"non-homologous end joining factor 1","gene with protein product"
1337,T135821,137,0.0682,p1@GNAI2,2771,4385,"F8WE78,F5GZL8,B3KP24,B3KX51,P04899",GNAI2,"G protein subunit alpha i2","gene with protein product"
1338,T157381,137,0.0682,p1@PRDM1,639,9346,"O75626,Q5T4E8",PRDM1,"PR/SET domain 1","gene with protein product"
1339,T110807,136,0.0678,p1@SULT1C2,6819,11456,"B8ZZF7,B4DLP0,C9JSR0",SULT1C2,"sulfotransferase family 1C member 2","gene with protein product"
1340,T020574,136,0.0678,p2@MTERFD3,80298,30779,Q49AM1,MTERF2,"mitochondrial transcription termination factor 2","gene with protein product"
1341,T074982,136,0.0677,p2@PSG1,5669,9514,G5E9F7,PSG1,"pregnancy specific beta-1-glycoprotein 1","gene with protein product"
1342,T013749,136,0.0677,p2@ELF5,2001,3320,"A6XAE6,A8K443,Q9UKW6",ELF5,"E74 like ETS transcription factor 5","gene with protein product"
1343,T126319,134,0.0667,p1@DUSP2,1844,3068,Q05923,DUSP2,"dual specificity phosphatase 2","gene with protein product"
1344,T034860,134,0.0667,p1@RAP2A,5911,9861,P10114,RAP2A,"RAP2A, member of RAS oncogene family","gene with protein product"
1345,T144152,134,0.0667,p3@TXK,7294,12434,"D6RA14,D6RBM7",TXK,"TXK tyrosine kinase","gene with protein product"
1346,T175029,133,0.0662,p7@HERPUD2,64224,21915,Q9BSE4,HERPUD2,"HERPUD family member 2","gene with protein product"
1347,T060166,131,0.0654,p4@SPOP,8405,11254,D6RD94,SPOP,"speckle type BTB/POZ protein","gene with protein product"
1348,T179298,131,0.0652,p3@RRM2B,50484,17296,Q7LG56,RRM2B,"ribonucleotide reductase regulatory TP53 inducible subunit M2B","gene with protein product"
1349,T022433,131,0.0652,p4@C12orf65,91574,26784,,C12orf65,"chromosome 12 open reading frame 65","gene with protein product"
1350,T059456,130,0.0647,p5@FMNL1,752,1212,O95466,FMNL1,"formin like 1","gene with protein product"
1351,T028408,129,0.0643,p3@RAP1B,5908,9857,F5H077,RAP1B,"RAP1B, member of RAS oncogene family","gene with protein product"
1352,T025122,127,0.0633,p1@ANO6,196527,25240,"B9EGG0,E9PCT2,B4DZA5,Q4KMQ2",ANO6,"anoctamin 6","gene with protein product"
1353,T067328,127,0.0632,p12@PSTPIP2,9050,9581,Q9H939,PSTPIP2,"proline-serine-threonine phosphatase interacting protein 2","gene with protein product"
1354,T123170,127,0.0630,p2@EPAS1,2034,3374,,EPAS1,"endothelial PAS domain protein 1","gene with protein product"
1355,T040628,126,0.0628,p2@FLVCR2,55640,20105,Q9UPI3,FLVCR2,"feline leukemia virus subgroup C cellular receptor family member 2","gene with protein product"
1356,T160155,125,0.0623,p11@STX11,8676,11429,O75558,STX11,"syntaxin 11","gene with protein product"
1357,T112512,125,0.0621,p1@DARS,1615,2678,"P14868,Q53T60",DARS,"aspartyl-tRNA synthetase","gene with protein product"
1358,T013622,124,0.0618,p4@CSTF3,1479,2485,,CSTF3,"cleavage stimulation factor subunit 3","gene with protein product"
1359,T087198,123,0.0613,p2@CDC73,79577,16783,B4DV47,CDC73,"cell division cycle 73","gene with protein product"
1360,T144805,123,0.0613,p1@MFSD7,84179,26177,"D6RED0,D6R9R0,Q6UXD7",MFSD7,"major facilitator superfamily domain containing 7","gene with protein product"
1361,T058790,123,0.0612,p1@HSD17B1,3292,5210,B4DU11,HSD17B1,"hydroxysteroid 17-beta dehydrogenase 1","gene with protein product"
1362,T140991,122,0.0608,p1@TDO2,6999,11708,P48775,TDO2,"tryptophan 2,3-dioxygenase","gene with protein product"
1363,T015160,122,0.0608,p2@ZDHHC5,25921,18472,Q9C0B5,ZDHHC5,"zinc finger DHHC-type containing 5","gene with protein product"
1364,T174051,121,0.0603,p2@EIF3B,8662,3280,C9JQN7,EIF3B,"eukaryotic translation initiation factor 3 subunit B","gene with protein product"
1365,T052314,120,0.0598,p1@MT4,84560,18705,P47944,MT4,"metallothionein 4","gene with protein product"
1366,T007584,120,0.0598,p1@CDHR1,92211,14550,,CDHR1,"cadherin related family member 1","gene with protein product"
1367,T084817,120,0.0597,p4@FCGR2A,2212,3616,,FCGR2A,"Fc fragment of IgG receptor IIa","gene with protein product"
1368,T028755,120,0.0596,p9@PTPN6,5777,9658,F5H0N8,PTPN6,"protein tyrosine phosphatase, non-receptor type 6","gene with protein product"
1369,T120900,119,0.0593,p2@NDUFA10,4705,7684,"Q59FM0,Q8N1B9,Q8WXC9",NDUFA10,"NADH:ubiquinone oxidoreductase subunit A10","gene with protein product"
1370,T094281,119,0.0593,p2@MYCL1,4610,7555,P12524,MYCL,"v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog","gene with protein product"
1371,T188100,119,0.0592,p1@ABCA1,19,29,B1AMI1,ABCA1,"ATP binding cassette subfamily A member 1","gene with protein product"
1372,T040291,118,0.0588,p2@NUMB,8650,8060,,NUMB,"NUMB, endocytic adaptor protein","gene with protein product"
1373,T055630,118,0.0588,p1@PITPNA,5306,9001,"Q00169,F5GWE5",PITPNA,"phosphatidylinositol transfer protein alpha","gene with protein product"
1374,T126939,118,0.0587,p2@IRAK2,3656,6113,O43187,IRAK2,"interleukin 1 receptor associated kinase 2","gene with protein product"
1375,T175973,118,0.0586,p20@TNS3,64759,21616,C9JWN9,TNS3,"tensin 3","gene with protein product"
1376,T144168,117,0.0584,p1@SLAIN2,57606,29282,Q9P270,SLAIN2,"SLAIN motif family member 2","gene with protein product"
1377,T079490,117,0.0584,p2@PRAM1,84106,30091,,PRAM1,"PML-RARA regulated adaptor molecule 1","gene with protein product"
1378,T146761,117,0.0583,p1@ABCG2,9429,74,Q9UNQ0,ABCG2,"ATP binding cassette subfamily G member 2 (Junior blood group)","gene with protein product"
1379,T068234,117,0.0582,p1@ZCCHC2,54877,22916,"Q9C0B9,Q9BRD4",ZCCHC2,"zinc finger CCHC-type containing 2","gene with protein product"
1380,T056183,116,0.0577,p1@ALDH3A2,224,403,"P51648,Q6I9T3",ALDH3A2,"aldehyde dehydrogenase 3 family member A2","gene with protein product"
1381,T056835,116,0.0577,p3@GIT1,28964,4272,Q9Y2X7,GIT1,"GIT ArfGAP 1","gene with protein product"
1382,T131165,116,0.0576,p1@KPNA4,3840,6397,,KPNA4,"karyopherin subunit alpha 4","gene with protein product"
1383,T153111,115,0.0573,p1@CNOT6,57472,14099,Q9ULM6,CNOT6,"CCR4-NOT transcription complex subunit 6","gene with protein product"
1384,T168108,115,0.0572,p2@PRSS35,167681,21387,Q8N3Z0,PRSS35,"protease, serine 35","gene with protein product"
1385,T194567,115,0.0572,p6@DAPK1,1612,2674,,DAPK1,"death associated protein kinase 1","gene with protein product"
1386,T086254,114,0.0569,p3@XPR1,9213,12827,,XPR1,"xenotropic and polytropic retrovirus receptor 1","gene with protein product"
1387,T188967,114,0.0569,p5@LINC00474,,23367,,LINC00474,"long intergenic non-protein coding RNA 474","RNA, long non-coding"
1388,T129303,113,0.0563,p5@SLCO2A1,6578,10955,,SLCO2A1,"solute carrier organic anion transporter family member 2A1","gene with protein product"
1389,T187159,112,0.0558,p2@SLC26A7,115111,14467,"E5RGL8,E5RFH2",SLC26A7,"solute carrier family 26 member 7","gene with protein product"
1390,T196903,112,0.0557,p3@XIAP,331,592,P98170,XIAP,"X-linked inhibitor of apoptosis","gene with protein product"
1391,T058716,110,0.0549,p4@STAT5A,6776,11366,,STAT5A,"signal transducer and activator of transcription 5A","gene with protein product"
1392,T059630,110,0.0548,p1@WNT9B,7484,12779,E7EPC3,WNT9B,"Wnt family member 9B","gene with protein product"
1393,T169385,110,0.0547,p7@NAMPT,10135,30092,C9JF35,NAMPT,"nicotinamide phosphoribosyltransferase","gene with protein product"
1394,T103547,109,0.0543,p2@UCKL1,54963,15938,"Q53HM1,Q9NWZ5",UCKL1,"uridine-cytidine kinase 1 like 1","gene with protein product"
1395,T191002,109,0.0543,p5@RXRA,6256,10477,"F1D8Q5,P19793,Q6P3U7",RXRA,"retinoid X receptor alpha","gene with protein product"
1396,T008199,108,0.0538,p2@MARCH5,54708,26025,,MARCH5,"membrane associated ring-CH-type finger 5","gene with protein product"
1397,T066513,106,0.0527,p2@EMILIN2,84034,19881,Q9BXX0,EMILIN2,"elastin microfibril interfacer 2","gene with protein product"
1398,T045852,105,0.0523,p3@FEM1B,10116,3649,Q9UK73,FEM1B,"fem-1 homolog B","gene with protein product"
1399,T099918,105,0.0522,p8@RALY,22913,15921,Q5QPM0,RALY,"RALY heterogeneous nuclear ribonucleoprotein","gene with protein product"
1400,T084771,104,0.0518,p3@NR1I3,9970,7969,C0H5Y2,NR1I3,"nuclear receptor subfamily 1 group I member 3","gene with protein product"
1401,T168206,104,0.0518,p1@SYNCRIP,10492,16918,"O60506,Q59GL1",SYNCRIP,"synaptotagmin binding cytoplasmic RNA interacting protein","gene with protein product"
1402,T105439,103,0.0514,p3@C2CD2,25966,1266,Q9Y426,C2CD2,"C2 calcium dependent domain containing 2","gene with protein product"
1403,T003558,103,0.0513,p1@OTUD1,220213,27346,Q5VV17,OTUD1,"OTU deubiquitinase 1","gene with protein product"
1404,T067551,103,0.0513,p6@LIPG,9388,6623,,LIPG,"lipase G, endothelial type","gene with protein product"
1405,T081839,102,0.0508,p3@RNF115,27246,18154,F5H4I2,RNF115,"ring finger protein 115","gene with protein product"
1406,T055652,101,0.0503,p18@SLC43A2,124935,23087,B7Z6X9,SLC43A2,"solute carrier family 43 member 2","gene with protein product"
1407,T146563,100,0.0499,p2@SLC10A6,345274,30603,D6RHD6,SLC10A6,"solute carrier family 10 member 6","gene with protein product"
1408,T049025,100,0.0498,p2@CLCN7,1186,2025,"E9PDB9,B3KVJ8,B3KXZ3,P51798,Q9BRN4",CLCN7,"chloride voltage-gated channel 7","gene with protein product"
1409,T062372,100,0.0497,p7@KCNJ16,3773,6262,Q9NPI9,KCNJ16,"potassium voltage-gated channel subfamily J member 16","gene with protein product"
1410,T131718,100,0.0497,p1@FNDC3B,64778,24670,"A8MYM6,Q53EP0",FNDC3B,"fibronectin type III domain containing 3B","gene with protein product"
1411,T155650,99,0.0494,p5@HEXB,3074,4879,,HEXB,"hexosaminidase subunit beta","gene with protein product"
1412,T031869,99,0.0492,p1@CRYL1,51084,18246,Q9Y2S2,CRYL1,"crystallin lambda 1","gene with protein product"
1413,T107881,98,0.0489,p24@PATZ1,23598,13071,,PATZ1,"POZ/BTB and AT hook containing zinc finger 1","gene with protein product"
1414,T004055,98,0.0488,p2@MAP3K8,1326,6860,,MAP3K8,"mitogen-activated protein kinase kinase kinase 8","gene with protein product"
1415,T122262,98,0.0488,p7@RASGRP3,25780,14545,"Q53SD7,Q8IV61",RASGRP3,"RAS guanyl releasing protein 3","gene with protein product"
1416,T170504,98,0.0488,p4@ERVFH21-1,100616104,39047,,ERVFH21-1,"endogenous retrovirus group FH21 member 1","endogenous retrovirus"
1417,T200234,97,0.0482,p1@PAGE4,9506,4108,O60829,PAGE4,"PAGE family member 4","gene with protein product"
1418,T031211,96,0.0479,p2@ABHD13,84945,20293,Q7L211,ABHD13,"abhydrolase domain containing 13","gene with protein product"
1419,T024314,95,0.0473,p1@ARNTL2,56938,18984,"Q8WYA1,F5H402",ARNTL2,"aryl hydrocarbon receptor nuclear translocator like 2","gene with protein product"
1420,T001159,94,0.0469,p4@ACSL5,51703,16526,Q9ULC5,ACSL5,"acyl-CoA synthetase long-chain family member 5","gene with protein product"
1421,T035018,94,0.0469,p2@GPR183,1880,3128,P32249,GPR183,"G protein-coupled receptor 183","gene with protein product"
1422,T143110,94,0.0468,p1@CCDC149,91050,25405,"D6RDA1,B4DK90",CCDC149,"coiled-coil domain containing 149","gene with protein product"
1423,T116671,94,0.0468,p18@MYO1B,4430,7596,,MYO1B,"myosin IB","gene with protein product"
1424,T080975,94,0.0468,p1@SDF4,51150,24188,Q9BRK5,SDF4,"stromal cell derived factor 4","gene with protein product"
1425,T097213,94,0.0468,p1@MCOLN2,255231,13357,"G5EA24,Q8IZK6",MCOLN2,"mucolipin 2","gene with protein product"
1426,T116115,94,0.0467,p8@SSFA2,6744,11319,"E7END2,F2Z295",SSFA2,"sperm specific antigen 2","gene with protein product"
1427,T168348,94,0.0467,p1@UBE2J1,51465,17598,F5GWD1,UBE2J1,"ubiquitin conjugating enzyme E2 J1","gene with protein product"
1428,T075010,93,0.0463,p1@PSG2,5670,9519,P11465,PSG2,"pregnancy specific beta-1-glycoprotein 2","gene with protein product"
1429,T147965,93,0.0462,p2@TNFAIP8,25816,17260,O95379,TNFAIP8,"TNF alpha induced protein 8","gene with protein product"
1430,T027139,93,0.0462,p1@APOF,319,615,"Q13790,F5GXS5",APOF,"apolipoprotein F","gene with protein product"
1431,T050199,92,0.0458,p2@IL4R,3566,6015,F8W7M1,IL4R,"interleukin 4 receptor","gene with protein product"
1432,T025293,91,0.0454,p4@SLC38A4,55089,14679,Q969I6,SLC38A4,"solute carrier family 38 member 4","gene with protein product"
1433,T139398,91,0.0453,p7@TNIP3,79931,19315,Q96KP6,TNIP3,"TNFAIP3 interacting protein 3","gene with protein product"
1434,T083329,91,0.0453,p9@RUSC1,23623,17153,,RUSC1,"RUN and SH3 domain containing 1","gene with protein product"
1435,T047519,91,0.0452,p5@ISG20,3669,6130,,ISG20,"interferon stimulated exonuclease gene 20","gene with protein product"
1436,T114707,91,0.0452,p16@TLK1,9874,11841,B3KR15,TLK1,"tousled like kinase 1","gene with protein product"
1437,T121415,90,0.0449,p21@DTNB,1838,3058,,DTNB,"dystrobrevin beta","gene with protein product"
1438,T130529,90,0.0448,p46@MBNL1,4154,6923,C9J4T8,MBNL1,"muscleblind like splicing regulator 1","gene with protein product"
1439,T027253,90,0.0448,p8@RDH16,8608,29674,O75452,RDH16,"retinol dehydrogenase 16 (all-trans)","gene with protein product"
1440,T078740,89,0.0443,p6@UBE2M,9040,12491,P61081,UBE2M,"ubiquitin conjugating enzyme E2 M","gene with protein product"
1441,T187028,88,0.0440,p2@RIPK2,8767,10020,,RIPK2,"receptor interacting serine/threonine kinase 2","gene with protein product"
1442,T089753,88,0.0438,p16@SKI,6497,10896,,SKI,"SKI proto-oncogene","gene with protein product"
1443,T002731,87,0.0432,p3@C10orf125,282969,24733,,FUOM,"fucose mutarotase","gene with protein product"
1444,T136538,86,0.0429,p4@ARHGEF3,50650,683,C9J5K8,ARHGEF3,"Rho guanine nucleotide exchange factor 3","gene with protein product"
1445,T174164,86,0.0429,p1@IQCE,23288,29171,"Q6IPM2,C9JE72",IQCE,"IQ motif containing E","gene with protein product"
1446,T036867,86,0.0429,p7@SLC7A7,9056,11065,Q9UM01,SLC7A7,"solute carrier family 7 member 7","gene with protein product"
1447,T045444,85,0.0424,p8@SNX1,6642,11172,,SNX1,"sorting nexin 1","gene with protein product"
1448,T058789,85,0.0424,p1@HSD17B1P1,,5216,C9JHT4,HSD17B1P1,"hydroxysteroid 17-beta dehydrogenase 1 pseudogene 1",pseudogene
1449,T066276,85,0.0423,p1@OSBPL1A,114876,16398,E7ER58,OSBPL1A,"oxysterol binding protein like 1A","gene with protein product"
1450,T086409,85,0.0423,p1@NPL,80896,16781,A6NK93,NPL,"N-acetylneuraminate pyruvate lyase","gene with protein product"
1451,T026918,85,0.0422,p10@CD63,967,1692,F8W022,CD63,"CD63 molecule","gene with protein product"
1452,T028968,85,0.0422,p11@C1R,715,1246,P00736,C1R,"complement C1r","gene with protein product"
1453,T045294,84,0.0419,p13@TPM1,7168,12010,"D9YZV7,P09493",TPM1,"tropomyosin 1 (alpha)","gene with protein product"
1454,T016978,84,0.0419,p1@EHBP1L1,254102,30682,"Q8N3D4,E9PIH6",EHBP1L1,"EH domain binding protein 1 like 1","gene with protein product"
1455,T127881,83,0.0414,p18@TMEM39A,55254,25600,C9JUZ6,TMEM39A,"transmembrane protein 39A","gene with protein product"
1456,T176391,83,0.0414,p2@VOPP1,81552,34518,"C9JQ18,F8WDC2",VOPP1,"vesicular, overexpressed in cancer, prosurvival protein 1","gene with protein product"
1457,T145557,83,0.0413,p7@MTHFD2L,441024,31865,,MTHFD2L,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like","gene with protein product"
1458,T122686,83,0.0413,p3@MAP4K3,8491,6865,F8WBC3,MAP4K3,"mitogen-activated protein kinase kinase kinase kinase 3","gene with protein product"
1459,T074991,82,0.0409,p4@PSG6,5675,9523,Q00889,PSG6,"pregnancy specific beta-1-glycoprotein 6","gene with protein product"
1460,T172656,82,0.0408,p9@NOS3,4846,7876,E7ESA7,NOS3,"nitric oxide synthase 3","gene with protein product"
1461,T187917,82,0.0407,p1@C9orf30,91283,23370,Q96H12,MSANTD3,"Myb/SANT DNA binding domain containing 3","gene with protein product"
1462,T049171,82,0.0407,p31@MYH11,4629,7569,,MYH11,"myosin heavy chain 11","gene with protein product"
1463,T080048,82,0.0406,p3@VAV3,10451,12659,Q9UKW4,VAV3,"vav guanine nucleotide exchange factor 3","gene with protein product"
1464,T161545,81,0.0404,p1@SLC22A1,6580,10963,F5H5P3,SLC22A1,"solute carrier family 22 member 1","gene with protein product"
1465,T111796,81,0.0404,p3@CLASP1,23332,17088,,CLASP1,"cytoplasmic linker associated protein 1","gene with protein product"
1466,T056097,81,0.0403,p2@FAM83G,644815,32554,A6ND36,FAM83G,"family with sequence similarity 83 member G","gene with protein product"
1467,T076641,81,0.0403,p1@SNRNP70,6625,11150,,SNRNP70,"small nuclear ribonucleoprotein U1 subunit 70","gene with protein product"
1468,T169670,81,0.0403,p4@DNAJB9,4189,6968,,DNAJB9,"DnaJ heat shock protein family (Hsp40) member B9","gene with protein product"
1469,T013741,80,0.0399,p2@ABTB2,25841,23842,"E9PRW7,A8K6S9",ABTB2,"ankyrin repeat and BTB domain containing 2","gene with protein product"
1470,T115976,80,0.0399,p5@SESTD1,91404,18379,F8WFB2,SESTD1,"SEC14 and spectrin domain containing 1","gene with protein product"
1471,T080991,80,0.0399,p1@ATP1A1,476,799,"P05023,E9PHR6",ATP1A1,"ATPase Na+/K+ transporting subunit alpha 1","gene with protein product"
1472,T016069,80,0.0399,p2@STX5,6811,11440,E9PRW9,STX5,"syntaxin 5","gene with protein product"
1473,T152432,80,0.0398,p1@CPEB4,80315,21747,Q17RY0,CPEB4,"cytoplasmic polyadenylation element binding protein 4","gene with protein product"
1474,T027304,80,0.0398,p2@LRP1,4035,6692,Q86SW0,LRP1,"LDL receptor related protein 1","gene with protein product"
1475,T041257,80,0.0397,p1@KCNK13,56659,6275,Q9HB14,KCNK13,"potassium two pore domain channel subfamily K member 13","gene with protein product"
1476,T053406,79,0.0394,p9@MSLN,10232,7371,,MSLN,mesothelin,"gene with protein product"
1477,T165732,79,0.0394,p1@FOXP4,116113,20842,"Q8IVH2,Q8IW55,Q7Z7F8",FOXP4,"forkhead box P4","gene with protein product"
1478,T123989,79,0.0394,p20@BCL11A,53335,13221,,BCL11A,"B-cell CLL/lymphoma 11A","gene with protein product"
1479,T121490,79,0.0394,p4@HADHB,3032,4803,P55084,HADHB,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit","gene with protein product"
1480,T185968,79,0.0393,p1@CRH,1392,2355,P06850,CRH,"corticotropin releasing hormone","gene with protein product"
1481,T160397,79,0.0393,p7@SASH1,23328,19182,O94885,SASH1,"SAM and SH3 domain containing 1","gene with protein product"
1482,T159410,78,0.0388,p1@NOL7,51406,21040,Q9UMY1,NOL7,"nucleolar protein 7","gene with protein product"
1483,T155652,77,0.0383,p1@HEXB,3074,4879,,HEXB,"hexosaminidase subunit beta","gene with protein product"
1484,T032623,76,0.0379,p1@N4BP2L1,90634,25037,Q5TBK1,N4BP2L1,"NEDD4 binding protein 2 like 1","gene with protein product"
1485,T090903,76,0.0379,p1@COG2,22796,6546,"Q14746,F5H1E5",COG2,"component of oligomeric golgi complex 2","gene with protein product"
1486,T168440,76,0.0379,p1@MAP3K7,6885,6859,"O43318,E7EMD4",MAP3K7,"mitogen-activated protein kinase kinase kinase 7","gene with protein product"
1487,T005040,76,0.0378,p1@WDFY4,57705,29323,Q6ZS81,WDFY4,"WDFY family member 4","gene with protein product"
1488,T176073,75,0.0374,p3@UPP1,7378,12576,,UPP1,"uridine phosphorylase 1","gene with protein product"
1489,T079702,75,0.0373,p1@HIAT1,64645,23363,Q96MC6,MFSD14A,"major facilitator superfamily domain containing 14A","gene with protein product"
1490,T017914,75,0.0373,p7@ANO1,55107,21625,"Q5XXA6,Q9NW72",ANO1,"anoctamin 1","gene with protein product"
1491,T010047,74,0.0369,p3@APOA5,116519,17288,C9JZZ0,APOA5,"apolipoprotein A5","gene with protein product"
1492,T151889,74,0.0368,p1@PANK3,79646,19365,E5RHA5,PANK3,"pantothenate kinase 3","gene with protein product"
1493,T139979,74,0.0368,p2@SETD7,80854,30412,Q8WTS6,SETD7,"SET domain containing lysine methyltransferase 7","gene with protein product"
1494,T006438,74,0.0367,p14@SGPL1,8879,10817,O95470,SGPL1,"sphingosine-1-phosphate lyase 1","gene with protein product"
1495,T155755,73,0.0364,p6@IQGAP2,10788,6111,"F5H7S7,Q13576,Q59HA3",IQGAP2,"IQ motif containing GTPase activating protein 2","gene with protein product"
1496,T175740,73,0.0364,p1@PURB,5814,9702,Q96QR8,PURB,"purine rich element binding protein B","gene with protein product"
1497,T067253,73,0.0364,p8@SETBP1,26040,15573,F8VWB7,SETBP1,"SET binding protein 1","gene with protein product"
1498,T134546,73,0.0364,p3@CSRNP1,64651,14300,Q96S65,CSRNP1,"cysteine and serine rich nuclear protein 1","gene with protein product"
1499,T198452,73,0.0363,p3@GDI1,2664,4226,P31150,GDI1,"GDP dissociation inhibitor 1","gene with protein product"
1500,T153163,73,0.0363,p12@MGAT1,4245,7044,D6RAK2,MGAT1,"mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase","gene with protein product"
1501,T161928,73,0.0363,p1@RNASET2,8635,21686,,RNASET2,"ribonuclease T2","gene with protein product"
1502,T136142,73,0.0363,p7@EDEM1,9695,18967,F8WE67,EDEM1,"ER degradation enhancing alpha-mannosidase like protein 1","gene with protein product"
1503,T061743,72,0.0358,p2@GH2,2689,4262,,GH2,"growth hormone 2","gene with protein product"
1504,T087680,71,0.0354,p1@PKP1,5317,9023,Q13835,PKP1,"plakophilin 1","gene with protein product"
1505,T064882,70,0.0349,p1@GCGR,2642,4192,P47871,GCGR,"glucagon receptor","gene with protein product"
1506,T030362,70,0.0349,p1@PZP,5858,9750,P20742,PZP,"PZP, alpha-2-macroglobulin like","gene with protein product"
1507,T182571,70,0.0348,p2@C8orf33,65265,26104,Q9H7E9,C8orf33,"chromosome 8 open reading frame 33","gene with protein product"
1508,T039729,69,0.0344,p20@MPP5,64398,18669,Q8N3R9,MPP5,"membrane palmitoylated protein 5","gene with protein product"
1509,T189903,69,0.0344,p1@ST6GALNAC6,30815,23364,Q969X2,ST6GALNAC6,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6","gene with protein product"
1510,T165379,69,0.0344,p1@PIM1,5292,8986,,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase","gene with protein product"
1511,T198697,69,0.0344,p2@RBBP7,5931,9890,C9J7L0,RBBP7,"RB binding protein 7, chromatin remodeling factor","gene with protein product"
1512,T110211,68,0.0339,p3@CHKB-CPT1B,,41998,,CHKB-CPT1B,"CHKB-CPT1B readthrough (NMD candidate)",readthrough
1513,T133794,68,0.0339,p1@UBE2E2,7325,12478,C9J180,UBE2E2,"ubiquitin conjugating enzyme E2 E2","gene with protein product"
1514,T195000,68,0.0339,p3@NINJ1,4814,7824,Q92982,NINJ1,"ninjurin 1","gene with protein product"
1515,T107253,67,0.0334,p3@ADRBK2,157,290,P35626,GRK3,"G protein-coupled receptor kinase 3","gene with protein product"
1516,T081837,67,0.0334,p2@RNF115,27246,18154,Q9Y4L5,RNF115,"ring finger protein 115","gene with protein product"
1517,T085877,67,0.0334,p56@RABGAP1L,9910,24663,,RABGAP1L,"RAB GTPase activating protein 1 like","gene with protein product"
1518,T143273,67,0.0334,p6@TNIP2,79155,19118,,TNIP2,"TNFAIP3 interacting protein 2","gene with protein product"
1519,T005193,67,0.0334,p6@SGMS1,259230,29799,,SGMS1,"sphingomyelin synthase 1","gene with protein product"
1520,T183397,67,0.0334,p1@CHMP7,91782,28439,"Q8WUX9,E5RFR8,E5RJI3,B4DKJ6,E5RIU9",CHMP7,"charged multivesicular body protein 7","gene with protein product"
1521,T012366,67,0.0333,p2@CTSD,1509,2529,F8WD96,CTSD,"cathepsin D","gene with protein product"
1522,T162628,66,0.0329,p10@PRL,5617,9445,"P01236,Q5THQ0",PRL,prolactin,"gene with protein product"
1523,T073566,66,0.0329,p1@PIP5K1C,23396,8996,"F5H0R5,O60331",PIP5K1C,"phosphatidylinositol-4-phosphate 5-kinase type 1 gamma","gene with protein product"
1524,T041018,66,0.0328,p1@SEL1L,6400,10717,"Q9UBV2,G3V3B3",SEL1L,"SEL1L ERAD E3 ligase adaptor subunit","gene with protein product"
1525,T162362,66,0.0328,p2@RNF144B,255488,21578,Q7Z419,RNF144B,"ring finger protein 144B","gene with protein product"
1526,T042490,65,0.0324,p2@HERC2P9,,30495,,HERC2P9,"hect domain and RLD 2 pseudogene 9",pseudogene
1527,T063455,65,0.0324,p5@SPHK1,8877,11240,"Q9NYA1,Q53ZR5,Q96GK1",SPHK1,"sphingosine kinase 1","gene with protein product"
1528,T140912,65,0.0324,p12@FGG,2266,3694,,FGG,"fibrinogen gamma chain","gene with protein product"
1529,T075138,65,0.0324,p1@PLAUR,5329,9053,Q03405,PLAUR,"plasminogen activator, urokinase receptor","gene with protein product"
1530,T138954,65,0.0324,p1@C4orf32,132720,26813,Q8N8J7,C4orf32,"chromosome 4 open reading frame 32","gene with protein product"
1531,T128921,65,0.0324,p2@IFT122,55764,13556,"G3XAB1,Q9NV68,Q9HBG5,Q9HBG6,Q9BTY4",IFT122,"intraflagellar transport 122","gene with protein product"
1532,T070111,65,0.0324,p1@C19orf43,79002,28424,Q9BQ61,C19orf43,"chromosome 19 open reading frame 43","gene with protein product"
1533,T162750,65,0.0323,p4@C6orf62,81688,20998,Q9GZU0,C6orf62,"chromosome 6 open reading frame 62","gene with protein product"
1534,T074317,65,0.0323,p1@PLD3,23646,17158,,PLD3,"phospholipase D family member 3","gene with protein product"
1535,T075774,64,0.0319,p2@SYMPK,8189,22935,,SYMPK,symplekin,"gene with protein product"
1536,T139399,64,0.0319,p1@TNIP3,79931,19315,,TNIP3,"TNFAIP3 interacting protein 3","gene with protein product"
1537,T112932,64,0.0318,p14@ZEB2,9839,14881,,ZEB2,"zinc finger E-box binding homeobox 2","gene with protein product"
1538,T019847,63,0.0314,p2@MAML2,84441,16259,Q8IZL2,MAML2,"mastermind like transcriptional coactivator 2","gene with protein product"
1539,T008571,63,0.0314,p3@TM9SF3,56889,21529,Q9HD45,TM9SF3,"transmembrane 9 superfamily member 3","gene with protein product"
